shift,cagr,sharpe,max_drawdown,mean_worst_months
77,0.08867436399568307,0.40002794178641593,-0.3005870890983331,-0.12113942287515019
78,0.0910538613267422,0.41321084216832815,-0.3005870890983331,-0.11544201399671652
79,0.09318521751370179,0.424605082511736,-0.3005870890983332,-0.11544201399671652
80,0.0945775480729436,0.4330126795123772,-0.3005870890983331,-0.11544201399671652
81,0.09544316072187087,0.4372838089148688,-0.3005870890983332,-0.11549201399671652
82,0.10083722244308979,0.4642002639922834,-0.3005870890983331,-0.1153060776742394
83,0.10558861371984563,0.48539292014746016,-0.300587089098333,-0.1153060776742394
84,0.09766267793409744,0.4445249539808558,-0.30242754909133773,-0.11910148889555576
85,0.09874911879625725,0.4493609403545103,-0.3005870890983331,-0.11910148889555576
86,0.09535727828464258,0.4312641266831306,-0.33594560000656715,-0.1242584839321359
87,0.10371902811158007,0.4658307165648701,-0.3005870890983331,-0.1243084839321359
88,0.10789295567275725,0.4862281229557225,-0.3005870890983331,-0.12259034147188863
89,0.1056525302975655,0.47939027978492615,-0.3005870890983331,-0.12259034147188863
90,0.10677744185286131,0.48346660965139565,-0.30076554063668837,-0.12264034147188863
91,0.10450955348374835,0.4731081755528969,-0.30894089785268974,-0.11998788992034266
92,0.10855062426188455,0.4930531827109667,-0.2803753151053666,-0.12000678384391923
93,0.11783590085338136,0.5436275696849415,-0.2290331372347595,-0.10892466817909821
94,0.11626117548787462,0.5434000910833519,-0.2442508332063198,-0.10449364958645979
95,0.10422659708609694,0.48865116104951833,-0.23561965123421746,-0.10928262710606625
96,0.11323395519728718,0.5318689694512878,-0.21220888412390748,-0.10938262710606624
97,0.12638692183747535,0.6075973984632729,-0.20419234120912721,-0.09480878176364055
98,0.11764962840249904,0.5705863256913918,-0.20243915869275864,-0.09480878176364055
99,0.11760293484627105,0.5690634146441224,-0.19966873739440127,-0.09480878176364055
100,0.10577495124090763,0.5065154514153077,-0.21716134518021424,-0.09782365859070061
