task_id,ticker,data_fingerprint,momentum_window,atr_window,stop_multiplier,cost_per_side,stop_slippage,bars,total_trades,win_rate,total_return,annualized_return,annualized_volatility,return_skewness,return_kurtosis,sharpe_ratio,sortino_ratio,max_drawdown,profit_factor,exposure,final_equity,deflated_sharpe_ratio
d9d0f318deb7b355027a1605dc717c5a4fb8205e444c1192823642cf4887794f,ITUB4.SA,5985bb264ae48ba470e29d32102683299f4b248f48433515690421888e36e29f,15,14,2.0,0.0015,0.0,1163,65,0.26153846153846155,-0.04819354456821123,-0.010645578022855484,0.1861077156173741,0.2512539331124013,9.737415902727204,0.035340438441964,0.0505217901947894,-0.26675270613963475,1.026862639920085,0.4307824591573517,0.9518064554317888,0.10415445163323334
dde3c6aeafaaaae52fffa1278decaab9a915e35b75a9dc01b4784eaef4014190,BBDC4.SA,4f2191358cc52e9018aa04788b147ab245a0dc35638103c37c6b1ee0c4c48ba1,10,14,1.5,0.0015,0.0,1163,79,0.2911392405063291,-0.05358171233945441,-0.011861848817826814,0.19315255049549773,0.338616173863914,12.167465407151754,0.034531578245507816,0.05055860041536399,-0.3734611197187485,1.0325399895076093,0.35683576956147894,0.9464182876605456,0.11865325741034
62055db6332c4d1a8564eac725c086f63f2bdf3bde840342348d737b8802a0c7,RENT3.SA,a39aeb3efe6fb94134e5fec95fac0add9eed4db3714182e188545f4d9784c8d3,60,14,2.0,0.0015,0.0,1163,23,0.43478260869565216,-0.04260713861256349,-0.009390240348385981,0.1740232567453183,-0.8136445454208204,44.01475227601262,0.0334768015209339,0.04687409621590345,-0.27625592550457845,1.028224306206881,0.22785898538263114,0.9573928613874365,0.1559460883301486
5b7316a010dd442a6d1864b8cdf576601c2c72a92d79bbcbfa160d608f44e155,ITUB4.SA,5985bb264ae48ba470e29d32102683299f4b248f48433515690421888e36e29f,45,14,2.5,0.0015,0.0,1163,28,0.35714285714285715,-0.027328656349269398,-0.005986032182202283,0.13963442505735096,1.0482038922958585,21.272524773731845,0.026384852155781326,0.03928981597979675,-0.3456703432552445,1.025134053691988,0.25623387790197766,0.9726713436507306,0.10058597447372247
6d98ba0dc4e1aa5dd8cb3b950274f66ac879a3d967f15960a03d5f2e2f5bb741,WEGE3.SA,b67fb8f3e724dc522918a81ef29842c7bc0be6cabee33d7155075bae21bae18a,10,14,2.0,0.0015,0.0,1163,79,0.24050632911392406,-0.1046458517902028,-0.023666488468083502,0.24430839132905743,0.8952618363910798,15.566224240147681,0.023103896894394738,0.034585202413109105,-0.48679231582640126,1.0830376416723329,0.4591573516766982,0.8953541482097972,0.06382829790925582
f7a30e6436c0b14fd73b0b68c96d1e3a94cd769651416faa9215efa8fd1bb4a5,VALE3.SA,dac5522ae92f306ae7f13023cdcadc9afa05574295f8ffd706c9f04b87e79a3e,15,14,3.0,0.0015,0.0,1163,64,0.265625,-0.08475946539411883,-0.019008106064622665,0.21905875293959148,0.8351700033476889,9.770186528400503,0.021083271336795564,0.03200894874324614,-0.37274373285504814,1.0668932152499229,0.471195184866724,0.9152405346058812,0.05396236148501132
4e35d1f9492b7a8f9c85a58002544b3e93aafb0bbcd416031248b330ec7bc4f3,VALE3.SA,dac5522ae92f306ae7f13023cdcadc9afa05574295f8ffd706c9f04b87e79a3e,10,14,1.5,0.0015,0.0,1163,83,0.3614457831325301,-0.06992815072973357,-0.015585224147357968,0.19759450309148097,1.2037022150533976,13.245185724092938,0.018326340727226793,0.02820923554804863,-0.3214617219436219,1.0015353771712265,0.35683576956147894,0.9300718492702664,0.053291808620136105
1a503c080292cf27b3fc1e6a96ebe94198af06d6897c3011194b7ece5de012c0,SMTO3.SA,af537ffb25e029f80e1bee6c804cd42412ab25bbb83c79c679269a354f378060,10,14,3.0,0.0015,0.0,1163,71,0.38028169014084506,-0.14079398213513328,-0.032345903674927845,0.2732695245952445,-0.3592332206258014,8.824352948082176,0.016934776826669606,0.023440150603875772,-0.5395935788519237,1.016230204112771,0.470335339638865,0.8592060178648667,0.1002085564259117
126f6f07d7f0f937275aae9acee22b7e28fbe2c7ab1c3c228d98ed22bf44a47a,SMTO3.SA,af537ffb25e029f80e1bee6c804cd42412ab25bbb83c79c679269a354f378060,10,14,2.5,0.0015,0.0,1163,71,0.38028169014084506,-0.1343790579768267,-0.030785025554347922,0.2637349069412228,-0.1716366370670411,8.176626054070844,0.013588930062939894,0.01900681652079646,-0.546510733267613,1.0162093429390093,0.4411006018916595,0.8656209420231733,0.0989251891508528
779f4e0c0b051c94b80ee3205767c36fd0f21c8c16415f11b28ec1a768ee72af,PETR4.SA,3dbc48fc84bc60cb7b2eb556d8e0d91ecd2b3ae1ef256f8cb07085a4f75408a2,10,14,2.5,0.0015,0.0,1163,73,0.3013698630136986,-0.20844932377022007,-0.0493902404636003,0.307057848694948,-2.102005783225797,22.18580719920746,-0.0066880681066755696,-0.008558699503882848,-0.6101623161695847,0.9605733607434995,0.5184866723989682,0.7915506762297799,0.15790503823374213
