mes,BAA10Y,NFCI,z_baa10y_fechado,z_nfci_fechado,mudanca_regime
1989-10,1.84,0.304,-1.014244301028934,0.35180561835286384,0
1989-11,1.99,0.102,-0.42736974370896413,0.10332336752935284,0
1989-12,1.91,0.025,0.02901066768260324,-0.509658258270695,0
1990-01,1.68,0.062,-0.1405189393080614,-0.822716983950999,0
1990-02,1.68,0.049,-0.7976311410038823,-0.818723809830038,0
1990-03,1.58,0.077,-0.7534831233879445,-0.981297690260868,0
1990-04,1.5,0.11,-1.0191051770939756,-0.9390412208895155,0
1990-05,1.71,-0.006,-1.2049707195240111,-0.79075441633134,0
1990-06,1.79,-0.155,-0.5025755980695178,-1.1460235945850017,0
1990-07,1.77,-0.072,-0.21901199598560597,-1.571601753233338,0
1990-08,1.69,0.186,-0.255382632082612,-1.2539309777205174,0
1990-09,1.94,0.382,-0.49398685619097427,-0.3803821777131493,0
1990-10,2.13,0.458,0.31584296299247183,0.31553389725401915,0
1990-11,2.27,0.474,1.0068486304509003,0.7329660483202727,1
1990-12,2.35,0.522,1.473916494942391,1.04103121512171,1
1991-01,2.3,0.392,1.76097956970633,1.445244929440486,0
1991-02,2.09,0.1,1.6790525144391681,0.7538240029345736,0
1991-03,1.96,-0.15,1.0020639856840488,-0.7724200192590699,1
1991-04,1.83,-0.235,0.5564605715345416,-1.9347416867057607,0
1991-05,1.77,-0.238,0.0888789769332667,-2.131784110895667,1
1991-06,1.66,-0.27,-0.12567440126640927,-1.9615244887970231,0
1991-07,1.6,-0.413,-0.5099498199699626,-1.9224357967241301,0
1991-08,1.75,-0.539,-0.7039962933025884,-2.258016777084357,0
1991-09,1.94,-0.559,-0.07867320438708736,-2.429960246041871,0
1991-10,2.02,-0.579,0.6535140223995015,-2.239946015527557,0
1991-11,2.06,-0.626,0.9245461630192583,-2.088833546008044,0
1991-12,2.39,-0.662,1.0268547419442815,-2.0313622167576044,1
1992-01,1.9,-0.657,2.1365610666998234,-1.9520433378338282,0
1992-02,1.9,-0.655,0.24113615208460973,-1.7879301445030416,1
1992-03,1.7,-0.683,0.19236655567702146,-1.6587653876630064,0
1992-04,1.63,-0.76,-0.7148104574774645,-1.6438729016681661,0
1992-05,1.77,-0.86,-1.0429227134682133,-1.7337111498937992,0
