mes,NFCI
2025-03,-0.409
2025-04,-0.39
2025-05,-0.467
2025-06,-0.497
2025-07,-0.519
2025-08,-0.528
2025-09,-0.527
2025-10,-0.515
2025-11,-0.511
2025-12,-0.54
2026-01,-0.567
2026-02,-0.509
2026-03,-0.46
2026-04,-0.497
2026-05,-0.508
2026-06,-0.516
2026-07,-0.546
2026-08,-0.549
