mes,BIL,IJR,IWM,SPY,VB,VFMF
2013-01,73.38822174072266,34.07134246826172,75.21316528320312,118.88353729248047,70.74737548828125,
2013-02,73.38822174072266,34.55371856689453,75.96882629394531,120.4004135131836,71.63541412353516,
2013-03,73.38822174072266,35.98807907104492,79.50825500488281,124.97217559814453,74.9632568359375,
2013-04,73.37217712402344,35.930206298828125,79.23040771484375,127.37315368652344,75.18529510498047,
2013-05,73.38822174072266,37.48447799682617,82.3457260131836,130.38040161132812,77.89105987548828,
2013-06,73.37217712402344,37.44413375854492,81.67216491699219,128.6405792236328,77.06864166259766,
2013-07,73.37217712402344,40.01060104370117,87.662109375,135.28829956054688,82.29922485351562,
2013-08,73.37217712402344,39.07772445678711,84.8882827758789,131.23062133789062,79.63459014892578,
2013-09,73.35615539550781,41.48174285888672,90.39680480957031,135.3836669921875,84.28948211669922,
2013-10,73.34014129638672,42.96559143066406,92.58445739746094,141.65286254882812,86.97053527832031,
2013-11,73.32414245605469,44.890045166015625,96.2474594116211,145.85108947753906,89.33090209960938,
2013-12,73.32414245605469,45.50706481933594,98.1927490234375,149.63247680664062,91.60319519042969,
2014-01,73.32414245605469,43.822383880615234,95.4689712524414,144.3582000732422,89.72032928466797,
2014-02,73.34014129638672,45.75311279296875,100.03132629394531,150.9287872314453,94.27757263183594,
2014-03,73.32414245605469,46.0582160949707,99.28258514404297,152.18081665039062,94.11009979248047,
2014-04,73.32414245605469,44.79947280883789,95.56185913085938,153.23870849609375,91.81048583984375,
2014-05,73.32414245605469,44.87058639526367,96.31281280517578,156.7947998046875,92.96862030029297,
2014-06,73.30809783935547,47.00806427001953,101.39045715332031,160.03182983398438,97.58455657958984,
2014-07,73.2921142578125,44.395347595214844,95.25198364257812,157.8813934326172,92.68533325195312,
2014-08,73.30809783935547,46.28253936767578,99.85222625732422,164.11195373535156,97.37625885009766,
2014-09,73.30809783935547,43.8702507019043,93.93309783935547,161.84780883789062,92.17706298828125,
2014-10,73.2921142578125,46.90290069580078,100.12655639648438,165.65945434570312,96.34308624267578,
2014-11,73.2921142578125,46.81455993652344,100.23823547363281,170.21043395996094,97.3595962524414,
2014-12,73.27606201171875,48.16823196411133,103.1380615234375,169.77874755859375,98.59626770019531,
2015-01,73.26002502441406,46.44099807739258,99.7581787109375,164.748291015625,96.4833755493164,
2015-02,73.26002502441406,49.232425689697266,105.69022369384766,174.00790405273438,102.07833099365234,
2015-03,73.26002502441406,50.02023696899414,107.56092071533203,171.27499389648438,103.62654876708984,
2015-04,73.2440414428711,48.867515563964844,104.80204772949219,172.95928955078125,101.51274871826172,
2015-05,73.22799682617188,49.57948684692383,107.14579772949219,175.18287658691406,103.55890655517578,
2015-06,73.22799682617188,50.103694915771484,107.98470306396484,171.6245574951172,102.70494079589844,
2015-07,73.22799682617188,49.687171936035156,106.7926025390625,175.50140380859375,102.40898132324219,
2015-08,73.22799682617188,47.10717010498047,100.05291748046875,164.8046112060547,96.43962097167969,
2015-09,73.19600677490234,45.44561004638672,95.11397552490234,160.59942626953125,92.06395721435547,
2015-10,73.17992401123047,48.20892333984375,100.46195983886719,174.260009765625,97.29187774658203,
2015-11,73.19600677490234,49.50956344604492,103.73699188232422,174.8968963623047,99.04019927978516,
2015-12,73.17992401123047,47.165000915527344,98.51856231689453,171.87428283691406,94.89305877685547,
2016-01,73.19600677490234,44.26081848144531,90.06812286376953,163.31724548339844,87.73149871826172,
2016-02,73.19600677490234,44.744842529296875,89.86689758300781,163.1823272705078,88.40904998779297,
2016-03,73.19600677490234,48.40145492553711,97.06837463378906,174.1589813232422,95.89139556884766,
2016-04,73.22799682617188,48.981910705566406,98.69160461425781,174.84535217285156,97.58577728271484,
2016-05,73.22799682617188,49.76877212524414,100.90267181396484,177.81979370117188,99.4263687133789,
2016-06,73.21199798583984,50.1198616027832,100.88509368896484,178.43783569335938,99.75885772705078,
2016-07,73.2440414428711,52.62133026123047,106.81199645996094,184.94570922851562,104.7519760131836,
2016-08,73.2440414428711,53.35883712768555,108.71763610839844,185.1671600341797,105.4591064453125,
2016-09,73.26002502441406,53.69609069824219,109.88509368896484,185.17788696289062,105.86544799804688,
2016-10,73.27606201171875,51.325923919677734,104.83361053466797,181.96743774414062,101.5677719116211,
2016-11,73.2440414428711,57.75303268432617,116.43165588378906,188.6708526611328,110.26712036132812,
2016-12,73.26005554199219,59.708412170410156,119.7900390625,192.49559020996094,112.38111114501953,
2017-01,73.29212188720703,59.36110305786133,120.12761688232422,195.94015502929688,114.09783935546875,
2017-02,73.32899475097656,60.316261291503906,122.44612884521484,203.63900756835938,116.74700927734375,
2017-03,73.316162109375,60.25456237792969,122.47798919677734,203.89353942871094,116.52300262451172,
2017-04,73.37069702148438,60.803436279296875,123.88558197021484,205.91741943359375,117.51961517333984,
2017-05,73.38195037841797,59.53144073486328,121.44461059570312,208.823486328125,116.21694946289062,
